GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.tobira,TobiraException,28,0,0,0,12,0,3,0,3,0
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.tobira,TobiraService,209,0,10,0,55,0,21,0,16,0
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.userdirectory,UIRolesRoleProvider,121,0,8,0,31,0,15,0,11,0
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.util,LocaleFormattingStringProvider,0,39,0,0,0,11,0,5,0,5
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.util,TextFilter,41,0,6,0,5,0,4,0,1,0
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.util,BulkUpdateUtil.InternalDuration,0,72,0,0,0,14,0,4,0,4
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.util,BulkUpdateUtil,35,380,9,25,7,84,11,15,2,7
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.util,ClassPathInspector,34,0,2,0,12,0,5,0,4,0
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.util,BulkUpdateUtil.BulkUpdateInstructions,0,63,0,2,0,15,0,3,0,2
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.util,BulkUpdateUtil.BulkUpdateInstructionGroup,0,21,0,0,0,8,0,4,0,4
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.impl,ProviderQuery,147,0,10,0,47,0,19,0,14,0
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.impl,RawProviderQuery,18,0,0,0,7,0,6,0,6,0
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.impl,AdminUIConfiguration,5,68,1,1,2,16,2,5,1,5
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.endpoint,GroupsEndpoint,444,0,14,0,89,0,23,0,16,0
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.endpoint,JobEndpoint.JobComparator,49,89,8,10,13,33,7,8,0,2
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.endpoint,ServicesEndpoint.Service,85,177,1,1,14,22,3,13,2,13
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.endpoint,EndpointUtil,43,58,6,6,10,12,4,4,0,2
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.endpoint,TasksEndpoint.new Fn() {...},0,7,0,0,0,2,0,2,0,2
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.endpoint,JobEndpoint,269,449,39,27,38,101,27,21,1,14
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.endpoint,ServerEndpoint.CachedServer,0,6,0,0,0,1,0,1,0,1
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.endpoint,ServicesEndpoint,30,256,11,43,6,61,9,25,0,7
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.endpoint,CaptureAgentsEndpoint,219,241,35,17,36,44,25,11,4,6
Opencast :: jacoco-reports/opencast-admin-ui,org.opencastproject.adminui.endpoint,ServerEndpoint.Status,0,21,0,0,0,2,0,1,0,1
