GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: admin-service,org.opencastproject.adminui.tobira,TobiraException,28,0,0,0,12,0,3,0,3,0
Opencast :: admin-service,org.opencastproject.adminui.tobira,TobiraService,209,0,10,0,55,0,21,0,16,0
Opencast :: admin-service,org.opencastproject.adminui.userdirectory,UIRolesRoleProvider,121,0,8,0,31,0,15,0,11,0
Opencast :: admin-service,org.opencastproject.adminui.util,TextFilter,41,0,6,0,5,0,4,0,1,0
Opencast :: admin-service,org.opencastproject.adminui.util,BulkUpdateUtil.InternalDuration,0,72,0,0,0,14,0,4,0,4
Opencast :: admin-service,org.opencastproject.adminui.util,BulkUpdateUtil,30,380,9,25,6,84,11,15,2,7
Opencast :: admin-service,org.opencastproject.adminui.util,ClassPathInspector,34,0,2,0,12,0,5,0,4,0
Opencast :: admin-service,org.opencastproject.adminui.util,BulkUpdateUtil.BulkUpdateInstructions,0,63,0,2,0,15,0,3,0,2
Opencast :: admin-service,org.opencastproject.adminui.util,BulkUpdateUtil.BulkUpdateInstructionGroup,0,21,0,0,0,8,0,4,0,4
Opencast :: admin-service,org.opencastproject.adminui.impl,ProviderQuery,147,0,10,0,47,0,19,0,14,0
Opencast :: admin-service,org.opencastproject.adminui.impl,RawProviderQuery,18,0,0,0,7,0,6,0,6,0
Opencast :: admin-service,org.opencastproject.adminui.impl,AdminUIConfiguration,5,68,1,1,2,16,2,5,1,5
Opencast :: admin-service,org.opencastproject.adminui.endpoint,GroupsEndpoint,414,0,14,0,98,0,23,0,16,0
Opencast :: admin-service,org.opencastproject.adminui.endpoint,JobEndpoint.JobComparator,49,86,8,10,13,33,7,8,0,2
Opencast :: admin-service,org.opencastproject.adminui.endpoint,ServicesEndpoint.Service,85,142,1,1,14,28,3,13,2,13
Opencast :: admin-service,org.opencastproject.adminui.endpoint,EndpointUtil,108,175,14,16,22,34,9,9,0,3
Opencast :: admin-service,org.opencastproject.adminui.endpoint,JobEndpoint,308,441,41,31,61,102,29,23,2,14
Opencast :: admin-service,org.opencastproject.adminui.endpoint,ServicesEndpoint,43,258,11,43,8,62,9,25,0,7
Opencast :: admin-service,org.opencastproject.adminui.endpoint,ServerEndpoint.CachedServer,0,3,0,0,0,1,0,1,0,1
Opencast :: admin-service,org.opencastproject.adminui.endpoint,CaptureAgentsEndpoint,214,224,36,18,40,49,26,11,4,6
Opencast :: admin-service,org.opencastproject.adminui.endpoint,ServerEndpoint.Status,0,21,0,0,0,2,0,1,0,1
Opencast :: admin-service,org.opencastproject.adminui.endpoint,AbstractEventEndpoint,3743,3764,369,223,816,788,273,136,36,67
Opencast :: admin-service,org.opencastproject.adminui.endpoint,ListProvidersEndpoint,262,69,30,0,63,22,20,5,5,5
Opencast :: admin-service,org.opencastproject.adminui.endpoint,AclEndpoint.new Comparator() {...},54,0,6,0,10,0,5,0,2,0
Opencast :: admin-service,org.opencastproject.adminui.endpoint,VersionEndpoint,134,0,8,0,32,0,9,0,5,0
Opencast :: admin-service,org.opencastproject.adminui.endpoint,ServerEndpoint.Server,0,3,0,0,0,1,0,1,0,1
Opencast :: admin-service,org.opencastproject.adminui.endpoint,UsersEndpoint.JsonRole,7,10,0,0,2,4,2,1,2,1
Opencast :: admin-service,org.opencastproject.adminui.endpoint,ServerEndpoint.Sort,0,45,0,0,0,2,0,1,0,1
Opencast :: admin-service,org.opencastproject.adminui.endpoint,CaptureAgentsEndpoint.new Comparator() {...},41,45,8,4,9,7,6,3,0,2
Opencast :: admin-service,org.opencastproject.adminui.endpoint,ThemesEndpoint,198,811,34,42,63,187,35,25,1,21
Opencast :: admin-service,org.opencastproject.adminui.endpoint,UsersEndpoint,779,245,78,16,171,58,57,13,12,9
Opencast :: admin-service,org.opencastproject.adminui.endpoint,JobEndpoint.JobExtended,0,15,0,0,0,6,0,3,0,3
Opencast :: admin-service,org.opencastproject.adminui.endpoint,StatisticsEndpoint,465,0,34,0,121,0,41,0,23,0
Opencast :: admin-service,org.opencastproject.adminui.endpoint,TasksEndpoint,16,216,1,13,5,57,1,14,0,8
Opencast :: admin-service,org.opencastproject.adminui.endpoint,ServicesEndpoint.ServiceStatisticsComparator,23,151,3,26,4,38,3,17,0,2
Opencast :: admin-service,org.opencastproject.adminui.endpoint,SeriesEndpoint,1829,527,127,34,451,127,104,28,32,17
Opencast :: admin-service,org.opencastproject.adminui.endpoint,ServerEndpoint.ServerComparator,24,44,4,5,4,9,4,6,0,3
Opencast :: admin-service,org.opencastproject.adminui.endpoint,PlaylistsEndpoint,773,0,60,0,177,0,51,0,21,0
Opencast :: admin-service,org.opencastproject.adminui.endpoint,VersionEndpoint.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
Opencast :: admin-service,org.opencastproject.adminui.endpoint,ServerEndpoint,28,436,7,35,5,85,6,26,0,11
Opencast :: admin-service,org.opencastproject.adminui.endpoint,OsgiEventEndpoint,195,0,2,0,70,0,39,0,38,0
Opencast :: admin-service,org.opencastproject.adminui.endpoint,AclEndpoint,278,309,31,19,59,75,27,19,8,13
Opencast :: admin-service,org.opencastproject.adminui.endpoint,JobEndpoint.JobSort,0,57,0,0,0,2,0,1,0,1
Opencast :: admin-service,org.opencastproject.adminui.endpoint,UsersEndpoint.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
Opencast :: admin-service,org.opencastproject.adminui.endpoint,EndpointUtil.new Object() {...},0,14,0,0,0,4,0,1,0,1
Opencast :: admin-service,org.opencastproject.adminui.endpoint,UserSettingsEndpoint,67,85,0,2,16,21,1,9,1,8
Opencast :: admin-service,org.opencastproject.adminui.usersettings.persistence,UserSettingsServiceException,8,0,0,0,4,0,2,0,2,0
Opencast :: admin-service,org.opencastproject.adminui.usersettings.persistence,UserSettingDto,10,60,0,0,4,21,3,10,3,10
Opencast :: admin-service,org.opencastproject.adminui.usersettings,UserSettingsService,93,416,2,8,19,91,4,25,2,22
Opencast :: admin-service,org.opencastproject.adminui.usersettings,UserSetting,0,47,0,0,0,9,0,5,0,5
Opencast :: admin-service,org.opencastproject.adminui.usersettings,UserSettings,36,133,1,5,9,29,7,9,6,7
Opencast :: admin-service,org.opencastproject.adminui.exception,JobEndpointException,5,0,0,0,2,0,1,0,1,0
Opencast :: admin-service,org.opencastproject.adminui.exception,IllegalLanguageFilenameException,9,0,0,0,4,0,2,0,2,0
Opencast :: admin-service,org.opencastproject.adminui.exception,IllegalPathException,9,0,0,0,4,0,2,0,2,0
Opencast :: admin-service,org.opencastproject.adminui.exception,JsonCreationException,4,0,0,0,2,0,1,0,1,0
