GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,PropertyId,26,99,4,8,2,15,6,11,2,9
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Value.DateType,6,3,0,0,2,1,2,1,2,1
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Property,15,66,3,7,1,10,4,9,1,7
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Value.DateValue,0,4,0,0,0,2,0,1,0,1
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Value.TypedValue,0,55,2,4,0,8,2,7,0,6
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Value.VersionValue,4,0,0,0,2,0,1,0,1,0
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Value.BooleanType,6,3,0,0,2,1,2,1,2,1
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,PropertyName,60,25,10,0,4,7,9,4,4,4
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Value.new Function() {...},0,5,0,0,0,2,0,2,0,2
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Value.new Function() {...},0,5,0,0,0,2,0,2,0,2
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Value.new Function() {...},0,5,0,0,0,2,0,2,0,2
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Value.new Function() {...},0,5,0,0,0,2,0,2,0,2
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Value.StringType,3,6,0,0,1,2,1,2,1,2
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Value.new Function() {...},2,3,0,0,1,1,1,1,1,1
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Value.new Function() {...},0,10,0,0,0,2,0,2,0,2
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Value.StringValue,0,4,0,0,0,2,0,1,0,1
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Availability,15,0,0,0,2,0,1,0,1,0
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Value.BooleanValue,0,4,0,0,0,2,0,1,0,1
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Value.UntypedType,10,3,0,0,2,1,2,1,2,1
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,AssetId,104,0,12,0,15,0,15,0,9,0
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Value,21,133,3,9,4,24,3,14,1,10
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,AssetManagerException,24,0,0,0,10,0,6,0,6,0
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Value.LongType,6,3,0,0,2,1,2,1,2,1
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Value.VersionType,6,3,0,0,2,1,2,1,2,1
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api,Value.LongValue,0,4,0,0,0,2,0,1,0,1
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api.storage,DeletionSelector,112,0,12,0,16,0,16,0,10,0
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api.storage,StoragePath,113,0,14,0,18,0,17,0,10,0
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api.storage,AssetStoreException,16,0,0,0,8,0,4,0,4,0
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api.storage,Source,52,0,0,0,12,0,8,0,8,0
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api.fn,Product,9,0,0,0,4,0,2,0,2,0
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api.fn,ProductBuilder,13,0,0,0,4,0,3,0,3,0
Opencast :: asset-manager-api,org.opencastproject.assetmanager.api.fn,Properties,48,7,0,0,6,1,6,1,6,1
