GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl,SnapshotImpl,30,45,0,0,11,16,2,7,2,7
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl,AssetManagerImpl.AdminRole,0,21,0,0,0,2,0,1,0,1
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl,AssetImpl,15,30,0,0,5,11,5,3,5,3
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl,AssetManagerJobProducer.Operation,0,33,0,0,0,2,0,1,0,1
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl,RuntimeTypes,8,7,0,0,2,2,0,2,0,2
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl,TimedMediaArchiver,222,0,14,0,64,0,22,0,15,0
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl,TimedMediaArchiver.Runner,44,0,2,0,9,0,4,0,3,0
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl,AssetManagerJobProducer.MoveRecordInfo,14,58,1,5,3,16,2,6,1,4
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl,AssetManagerJobProducer,148,399,4,3,34,94,10,21,6,20
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl,VersionImpl,2,92,3,9,0,15,3,16,0,13
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl,AssetManagerImpl,1579,1871,152,109,319,397,136,104,31,76
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl,PartialMediaPackage,3,29,0,0,1,9,1,4,1,4
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl.endpoint,AbstractAssetManagerRestEndpoint.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl.endpoint,AbstractTieredStorageAssetManagerRestEndpoint,271,0,26,0,75,0,22,0,9,0
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl.endpoint,OsgiEndpointHttpAssetProvider,164,0,8,0,34,0,13,0,9,0
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl.endpoint,AbstractAssetManagerRestEndpoint,389,0,40,0,99,0,32,0,12,0
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl.endpoint,OsgiAssetManagerRestEndpoint,18,0,0,0,8,0,5,0,5,0
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl.persistence,SnapshotDtos.Medium,13,22,0,0,4,8,4,2,4,2
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl.persistence,PropertyDto.new Function() {...},9,6,0,0,2,1,1,1,1,1
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl.persistence,PropertyDto.new Function() {...},0,12,0,0,0,3,0,2,0,2
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl.persistence,VersionClaimDto,3,50,0,0,1,11,1,5,1,5
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl.persistence,PropertyDto.new Function() {...},0,12,0,0,0,3,0,2,0,2
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl.persistence,PropertyDto.new Function() {...},0,12,0,0,0,3,0,2,0,2
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl.persistence,PropertyDto.new Function() {...},0,12,0,0,0,3,0,2,0,2
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl.persistence,Database,113,1065,6,22,20,212,13,69,8,60
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl.persistence,SnapshotDto,81,188,3,7,25,42,10,18,8,15
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl.persistence,AssetDto,15,62,1,1,6,17,5,9,4,9
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl.persistence,PropertyDto,5,212,1,9,1,45,1,17,0,13
Opencast :: asset-manager-impl,org.opencastproject.assetmanager.impl.persistence,Conversions,10,12,1,1,5,4,1,3,0,3
