GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: authorization-manager,org.opencastproject.authorization.xacml.manager.util,AccessInformationUtil,113,110,14,10,28,25,12,8,5,3
Opencast :: authorization-manager,org.opencastproject.authorization.xacml.manager.impl.persistence,JpaAclDb,20,126,3,5,4,24,4,12,2,10
Opencast :: authorization-manager,org.opencastproject.authorization.xacml.manager.impl.persistence,ManagedAclEntity,24,85,0,2,4,20,2,10,2,9
Opencast :: authorization-manager,org.opencastproject.authorization.xacml.manager.impl.list,AclsListQuery,21,0,0,0,7,0,4,0,4,0
Opencast :: authorization-manager,org.opencastproject.authorization.xacml.manager.impl.list,AclListProvider,101,0,6,0,22,0,12,0,9,0
Opencast :: authorization-manager,org.opencastproject.authorization.xacml.manager.impl,ManagedAclImpl,0,27,0,0,0,10,0,5,0,5
Opencast :: authorization-manager,org.opencastproject.authorization.xacml.manager.impl,AclScanner,72,268,10,14,17,63,10,19,3,14
Opencast :: authorization-manager,org.opencastproject.authorization.xacml.manager.impl,AclServiceImpl,237,214,18,8,37,43,15,12,3,11
Opencast :: authorization-manager,org.opencastproject.authorization.xacml.manager.impl,OsgiAclServiceFactory,26,0,0,0,8,0,5,0,5,0
Opencast :: authorization-manager,org.opencastproject.authorization.xacml.manager.api,AclServiceException,4,0,0,0,2,0,1,0,1,0
Opencast :: authorization-manager,org.opencastproject.authorization.xacml.manager.endpoint,OsgiAclServiceRestEndpoint,55,0,0,0,20,0,12,0,12,0
Opencast :: authorization-manager,org.opencastproject.authorization.xacml.manager.endpoint,AbstractAclServiceRestEndpoint,108,171,6,18,32,38,7,19,3,11
Opencast :: authorization-manager,org.opencastproject.authorization.xacml.manager.endpoint,JsonConv,0,100,0,0,0,15,0,5,0,5
