GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: caption-impl,org.opencastproject.caption.util,TimeUtil,0,221,0,12,0,30,0,11,0,5
Opencast :: caption-impl,org.opencastproject.caption.impl,CaptionImpl,0,21,0,0,0,8,0,4,0,4
Opencast :: caption-impl,org.opencastproject.caption.impl,CaptionServiceImpl,741,0,55,0,186,0,51,0,23,0
Opencast :: caption-impl,org.opencastproject.caption.impl,CaptionServiceImpl.Operation,15,0,0,0,2,0,1,0,1,0
Opencast :: caption-impl,org.opencastproject.caption.impl,TimeImpl,0,111,0,16,0,28,0,19,0,11
Opencast :: caption-impl,org.opencastproject.caption.converters,DFXPCaptionConverter.new DefaultHandler() {...},35,0,6,0,9,0,5,0,2,0
Opencast :: caption-impl,org.opencastproject.caption.converters,IBMWatsonCaptionConverter,63,289,18,24,20,60,20,10,4,5
Opencast :: caption-impl,org.opencastproject.caption.converters,GoogleSpeechCaptionConverter,44,299,13,23,16,65,17,10,4,5
Opencast :: caption-impl,org.opencastproject.caption.converters,Mpeg7CaptionConverter,146,400,21,19,50,94,17,10,3,4
Opencast :: caption-impl,org.opencastproject.caption.converters,SubRipCaptionConverter,36,229,6,14,12,50,9,10,3,6
Opencast :: caption-impl,org.opencastproject.caption.converters,WebVttCaptionConverter,75,91,5,3,18,20,10,5,7,4
Opencast :: caption-impl,org.opencastproject.caption.converters,DFXPCaptionConverter,132,311,11,19,41,70,12,12,3,6
Opencast :: caption-impl,org.opencastproject.caption.endpoint,CaptionServiceRestEndpoint,211,0,12,0,51,0,16,0,10,0
