GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: capture-admin-service-impl,org.opencastproject.capture.admin.impl.list,AgentsListProviderImpl,86,0,6,0,20,0,11,0,8,0
Opencast :: capture-admin-service-impl,org.opencastproject.capture.admin.endpoint,AgentStateUpdateList,32,0,2,0,11,0,4,0,3,0
Opencast :: capture-admin-service-impl,org.opencastproject.capture.admin.endpoint,CaptureAgentStateRestService,555,0,54,0,122,0,44,0,17,0
Opencast :: capture-admin-service-impl,org.opencastproject.capture.admin.impl,CaptureAgentAdminRoleProviderImpl,107,0,10,0,29,0,15,0,10,0
Opencast :: capture-admin-service-impl,org.opencastproject.capture.admin.impl,AgentImpl,47,238,6,14,14,63,6,24,2,18
Opencast :: capture-admin-service-impl,org.opencastproject.capture.admin.impl,CaptureAgentStateServiceImpl.new CacheLoader() {...},0,34,0,0,0,7,0,2,0,2
Opencast :: capture-admin-service-impl,org.opencastproject.capture.admin.impl,CaptureAgentStateServiceImpl.new RemovalListener() {...},1,64,1,3,1,11,1,3,0,2
Opencast :: capture-admin-service-impl,org.opencastproject.capture.admin.impl,CaptureAgentStateServiceImpl,125,800,18,50,37,189,19,47,3,29
Opencast :: capture-admin-service-impl,org.opencastproject.capture.admin.impl,RecordingStateUpdate,0,31,0,0,0,10,0,5,0,5
Opencast :: capture-admin-service-impl,org.opencastproject.capture.admin.impl,AgentImplId,23,0,0,0,10,0,5,0,5,0
