GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: composer-service-api,org.opencastproject.composer.layout,TwoShapeLayouts.TwoShapeLayoutSpec,0,15,0,0,0,6,0,3,0,3
Opencast :: composer-service-api,org.opencastproject.composer.layout,Serializer,12,270,0,0,1,30,1,15,1,15
Opencast :: composer-service-api,org.opencastproject.composer.layout,AnchorOffset,41,67,6,6,2,12,8,7,2,7
Opencast :: composer-service-api,org.opencastproject.composer.layout,HorizontalCoverageLayoutSpec,17,47,5,5,1,9,6,5,1,5
Opencast :: composer-service-api,org.opencastproject.composer.layout,Dimension,35,52,5,5,2,9,7,6,2,6
Opencast :: composer-service-api,org.opencastproject.composer.layout,AbsolutePositionLayoutSpec,30,9,6,0,4,4,6,2,3,2
Opencast :: composer-service-api,org.opencastproject.composer.layout,TwoShapeLayout,21,56,6,6,1,10,7,6,1,6
Opencast :: composer-service-api,org.opencastproject.composer.layout,Offset,35,48,5,5,2,9,7,6,2,6
Opencast :: composer-service-api,org.opencastproject.composer.layout,LayoutManager,99,268,18,2,10,40,18,15,9,14
Opencast :: composer-service-api,org.opencastproject.composer.layout,TwoShapeLayouts,29,0,0,0,3,0,1,0,1,0
Opencast :: composer-service-api,org.opencastproject.composer.layout,MultiShapeLayout,3,16,0,0,1,5,1,2,1,2
Opencast :: composer-service-api,org.opencastproject.composer.layout,Anchor,35,50,5,5,2,8,7,5,2,5
Opencast :: composer-service-api,org.opencastproject.composer.layout,Layout,16,44,5,5,1,8,6,5,1,5
Opencast :: composer-service-api,org.opencastproject.composer.layout,Anchors,0,31,0,0,0,5,0,1,0,1
Opencast :: composer-service-api,org.opencastproject.composer.api,EncodingProfileImpl.Extension,69,0,6,0,17,0,10,0,7,0
Opencast :: composer-service-api,org.opencastproject.composer.api,EncodingProfileBuilder,77,0,4,0,19,0,7,0,5,0
Opencast :: composer-service-api,org.opencastproject.composer.api,EncodingProfile.MediaType,107,0,10,0,13,0,7,0,2,0
Opencast :: composer-service-api,org.opencastproject.composer.api,LaidOutElement,15,0,0,0,6,0,3,0,3,0
Opencast :: composer-service-api,org.opencastproject.composer.api,EncodingProfileImpl,343,0,28,0,84,0,44,0,30,0
Opencast :: composer-service-api,org.opencastproject.composer.api,EncoderException,13,0,0,0,6,0,3,0,3,0
Opencast :: composer-service-api,org.opencastproject.composer.api,EncodingProfileList,72,0,14,0,25,0,13,0,6,0
Opencast :: composer-service-api,org.opencastproject.composer.api,VideoClip,99,0,0,0,24,0,14,0,14,0
