GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,SanitizeAdaptiveWorkflowOperationHandler,53,217,5,11,14,51,4,12,0,8
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,ProcessSmilWorkflowOperationHandler.JobInformation,3,45,0,0,1,16,1,6,1,6
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,ImageWorkflowOperationHandler.Cfg,0,27,0,0,0,10,0,1,0,1
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,SelectStreamsWorkflowOperationHandler.MuxResult,51,0,0,0,13,0,5,0,5,0
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,ProcessSmilWorkflowOperationHandler,195,1043,34,130,46,205,33,70,1,20
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,ProcessSmilWorkflowOperationHandler.TrackSection,10,63,4,6,4,21,4,8,0,7
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,ImageWorkflowOperationHandler.PositionType,0,15,0,0,0,2,0,1,0,1
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,ConcatWorkflowOperationHandler.SourceType,0,21,0,0,0,2,0,1,0,1
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,ImageToVideoWorkflowOperationHandler,47,233,7,7,10,56,8,14,2,13
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,SelectStreamsWorkflowOperationHandler.SubTrack,15,0,0,0,2,0,1,0,1,0
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,SelectStreamsWorkflowOperationHandler,1045,0,128,0,198,0,97,0,33,0
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,MultiEncodeWorkflowOperationHandler.ElementProfileTagFlavor,12,86,1,3,3,25,3,9,2,8
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,ImageWorkflowOperationHandler.Extraction,15,0,0,0,6,0,1,0,1,0
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,EncodeWorkflowOperationHandler,439,0,50,0,99,0,32,0,7,0
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,SanitizeAdaptiveWorkflowOperationHandler.new Function() {...},11,15,0,0,4,4,0,2,0,2
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,MultiEncodeWorkflowOperationHandler,167,695,35,103,28,150,32,53,1,15
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,SanitizeAdaptiveWorkflowOperationHandler.new Function() {...},8,12,0,0,3,2,0,2,0,2
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,SegmentPreviewsWorkflowOperationHandler,584,0,60,0,142,0,40,0,10,0
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,PrepareAVWorkflowOperationHandler,604,0,78,0,143,0,49,0,9,0
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,CompositeWorkflowOperationHandler.CompositeSettings,151,473,26,34,36,108,29,25,3,21
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,SelectStreamsWorkflowOperationHandler.AudioMuxing,29,0,0,0,4,0,3,0,3,0
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,ImageWorkflowOperationHandler.MediaPosition,37,38,5,5,4,6,8,3,3,3
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,ImageWorkflowOperationHandler,649,200,51,27,143,35,49,19,20,8
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,SelectStreamsWorkflowOperationHandler.TrackJobResult,9,0,0,0,4,0,1,0,1,0
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,ImageConvertWorkflowOperationHandler,94,316,12,24,23,74,11,14,0,7
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,SelectStreamsWorkflowOperationHandler.AugmentedTrack,86,0,4,0,18,0,9,0,7,0
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,CompositeWorkflowOperationHandler,413,488,48,32,89,111,35,15,1,9
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,MultiEncodeWorkflowOperationHandler.JobInformation,0,31,0,0,0,11,0,5,0,5
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,ImageWorkflowOperationHandler.MediaPositionParser,9,111,5,27,2,30,5,13,1,1
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,MuxWorkflowOperationHandler,500,0,44,0,94,0,32,0,10,0
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,ConcatWorkflowOperationHandler,123,807,23,99,28,169,22,49,0,10
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,PartialImportWorkflowOperationHandler,2206,409,177,45,421,81,118,31,22,16
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,DemuxWorkflowOperationHandler,102,338,18,24,18,74,16,13,0,8
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,ProcessSmilWorkflowOperationHandler.ResultTally,0,15,0,0,0,6,0,3,0,3
Opencast :: composer-workflowoperation,org.opencastproject.workflow.handler.composer,EncodeWorkflowOperationHandler.JobInformation,21,0,0,0,8,0,3,0,3,0
