GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: distribution-workflowoperation,org.opencastproject.workflow.handler.distribution,RetractYouTubeWorkflowOperationHandler,98,0,4,0,27,0,8,0,6,0
Opencast :: distribution-workflowoperation,org.opencastproject.workflow.handler.distribution,RetractEngageAWSS3WorkflowOperationHandler,19,0,0,0,9,0,5,0,5,0
Opencast :: distribution-workflowoperation,org.opencastproject.workflow.handler.distribution,PublishEngageWorkflowOperationHandler,637,866,102,74,139,191,73,34,4,15
Opencast :: distribution-workflowoperation,org.opencastproject.workflow.handler.distribution,ConfigurableWorkflowOperationHandlerBase,218,196,26,20,29,36,22,8,0,7
Opencast :: distribution-workflowoperation,org.opencastproject.workflow.handler.distribution,PublishOaiPmhWorkflowOperationHandler,511,0,50,0,106,0,32,0,7,0
Opencast :: distribution-workflowoperation,org.opencastproject.workflow.handler.distribution,PartialRetractEngageWorkflowOperationHandler,345,0,28,0,81,0,23,0,9,0
Opencast :: distribution-workflowoperation,org.opencastproject.workflow.handler.distribution,ConfigurablePublishWorkflowOperationHandler,322,624,50,45,54,127,41,20,3,10
Opencast :: distribution-workflowoperation,org.opencastproject.workflow.handler.distribution,ConfigurableAWSS3PublishWorkflowOperationHandler,19,0,0,0,9,0,5,0,5,0
Opencast :: distribution-workflowoperation,org.opencastproject.workflow.handler.distribution,ConfigurableAWSS3RetractWorkflowOperationHandler,11,0,0,0,5,0,3,0,3,0
Opencast :: distribution-workflowoperation,org.opencastproject.workflow.handler.distribution,ConfigurableRetractWorkflowOperationHandler,84,0,8,0,24,0,12,0,8,0
Opencast :: distribution-workflowoperation,org.opencastproject.workflow.handler.distribution,RetractEngageWorkflowOperationHandler,57,164,8,10,13,44,8,12,2,9
Opencast :: distribution-workflowoperation,org.opencastproject.workflow.handler.distribution,TagEngageWorkflowOperationHandler,308,0,26,0,72,0,20,0,7,0
Opencast :: distribution-workflowoperation,org.opencastproject.workflow.handler.distribution,PartialRetractEngageAWSS3WorkflowOperationHandler,15,0,0,0,7,0,4,0,4,0
Opencast :: distribution-workflowoperation,org.opencastproject.workflow.handler.distribution,RetractOaiPmhWorkflowOperationHandler,113,0,6,0,30,0,9,0,6,0
Opencast :: distribution-workflowoperation,org.opencastproject.workflow.handler.distribution,PublishYouTubeWorkflowOperationHandler,227,0,24,0,57,0,17,0,5,0
Opencast :: distribution-workflowoperation,org.opencastproject.workflow.handler.distribution,PublishEngageAWSS3WorkflowOperationHandler,23,0,0,0,11,0,6,0,6,0
Opencast :: distribution-workflowoperation,org.opencastproject.workflow.handler.distribution,RepublishOaiPmhWorkflowOperationHandler,155,0,6,0,35,0,9,0,6,0
