GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: editor-service-api,org.opencastproject.editor.api,EditingData,73,57,1,3,22,11,5,6,4,5
Opencast :: editor-service-api,org.opencastproject.editor.api,EditorRestEndpointBase,216,0,10,0,56,0,16,0,9,0
Opencast :: editor-service-api,org.opencastproject.editor.api,TrackSubData,15,0,0,0,6,0,2,0,2,0
Opencast :: editor-service-api,org.opencastproject.editor.api,SeriesData,9,0,0,0,4,0,1,0,1,0
Opencast :: editor-service-api,org.opencastproject.editor.api,ErrorStatus,63,0,0,0,3,0,1,0,1,0
Opencast :: editor-service-api,org.opencastproject.editor.api,EditingData.Subtitle,34,0,0,0,12,0,6,0,6,0
Opencast :: editor-service-api,org.opencastproject.editor.api,WorkflowData,15,3,0,0,6,1,1,1,1,1
Opencast :: editor-service-api,org.opencastproject.editor.api,TrackData,55,0,2,0,16,0,7,0,6,0
Opencast :: editor-service-api,org.opencastproject.editor.api,EditorServiceException,24,0,0,0,8,0,3,0,3,0
Opencast :: editor-service-api,org.opencastproject.editor.api,SegmentData,48,52,5,7,11,10,10,3,5,2
Opencast :: editor-service-api,org.opencastproject.editor.api,LockData,51,0,2,0,15,0,7,0,6,0
