GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: event-comment,org.opencastproject.event.comment.list,EventCommentsListProvider.RESOLUTION,21,0,0,0,2,0,1,0,1,0
Opencast :: event-comment,org.opencastproject.event.comment.list,EventCommentsListProvider,143,0,10,0,29,0,14,0,9,0
Opencast :: event-comment,org.opencastproject.event.comment.list,EventCommentsListProvider.CommentsFilterList,15,0,0,0,2,0,1,0,1,0
Opencast :: event-comment,org.opencastproject.event.comment.persistence,EventCommentDatabaseServiceImpl,602,201,32,6,131,48,32,16,15,14
Opencast :: event-comment,org.opencastproject.event.comment.persistence,EventCommentDatabaseServiceImpl.new Function() {...},8,3,2,0,1,1,2,1,1,1
Opencast :: event-comment,org.opencastproject.event.comment.persistence,EventCommentDatabaseServiceImpl.new Function() {...},13,3,4,0,1,1,3,1,1,1
Opencast :: event-comment,org.opencastproject.event.comment.persistence,EventCommentReplyDto,56,61,1,3,18,15,11,5,10,4
Opencast :: event-comment,org.opencastproject.event.comment.persistence,EventCommentDatabaseException,4,0,0,0,2,0,1,0,1,0
Opencast :: event-comment,org.opencastproject.event.comment.persistence,EventCommentDto,99,140,1,7,33,28,21,7,20,4
Opencast :: event-comment,org.opencastproject.event.comment,EventCommentReply,154,72,15,1,15,17,11,9,3,9
Opencast :: event-comment,org.opencastproject.event.comment,EventCommentParser,108,555,13,15,29,115,11,17,1,13
Opencast :: event-comment,org.opencastproject.event.comment,EventCommentServiceImpl,83,0,0,0,31,0,8,0,8,0
Opencast :: event-comment,org.opencastproject.event.comment,EventComment,187,216,16,10,24,38,18,18,5,18
Opencast :: event-comment,org.opencastproject.event.comment,EventCommentException,4,0,0,0,2,0,1,0,1,0
