GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: external-api,org.opencastproject.external.endpoint,GroupsEndpoint.new GroupsEndpoint.GroupComparator() {...},7,0,0,0,2,0,2,0,2,0
Opencast :: external-api,org.opencastproject.external.endpoint,GroupsEndpoint.new GroupsEndpoint.GroupComparator() {...},7,0,0,0,2,0,2,0,2,0
Opencast :: external-api,org.opencastproject.external.endpoint,BaseEndpoint,81,283,9,5,19,60,7,12,2,10
Opencast :: external-api,org.opencastproject.external.endpoint,WorkflowsEndpoint,146,594,11,31,28,129,13,24,2,13
Opencast :: external-api,org.opencastproject.external.endpoint,StatisticsEndpoint,442,0,34,0,110,0,40,0,22,0
Opencast :: external-api,org.opencastproject.external.endpoint,ListProviderEndpoint,74,65,7,1,15,18,5,6,1,6
Opencast :: external-api,org.opencastproject.external.endpoint,EventsEndpoint,4216,1116,494,77,872,261,322,41,37,30
Opencast :: external-api,org.opencastproject.external.endpoint,GroupsEndpoint,575,0,41,0,129,0,35,0,14,0
Opencast :: external-api,org.opencastproject.external.endpoint,EventsEndpoint.CommentResolution,21,0,0,0,2,0,1,0,1,0
Opencast :: external-api,org.opencastproject.external.endpoint,GroupsEndpoint.GroupComparator,53,0,6,0,10,0,5,0,2,0
Opencast :: external-api,org.opencastproject.external.endpoint,CaptureAgentsEndpoint,7,92,1,11,3,18,3,10,2,5
Opencast :: external-api,org.opencastproject.external.endpoint,SeriesEndpoint,1496,1382,187,80,329,304,131,42,6,27
Opencast :: external-api,org.opencastproject.external.endpoint,SecurityEndpoint,69,86,5,5,23,21,5,6,2,4
Opencast :: external-api,org.opencastproject.external.endpoint,PlaylistsEndpoint,90,302,8,12,22,67,9,16,2,13
Opencast :: external-api,org.opencastproject.external.endpoint,WorkflowDefinitionsEndpoint,226,247,30,16,46,55,25,13,6,8
Opencast :: external-api,org.opencastproject.external.userdirectory,ExternalApiRoleProvider,143,0,10,0,36,0,17,0,12,0
Opencast :: external-api,org.opencastproject.external.userdirectory,ExternalGroupLoader,189,0,10,0,48,0,14,0,9,0
Opencast :: external-api,org.opencastproject.external.util,ExternalMetadataUtils,0,80,0,4,0,25,0,4,0,2
Opencast :: external-api,org.opencastproject.external.util,SchedulingUtils,154,0,16,0,38,0,11,0,3,0
Opencast :: external-api,org.opencastproject.external.util,SchedulingUtils.SchedulingInfo,312,267,49,15,63,64,38,13,7,12
Opencast :: external-api,org.opencastproject.external.util,AclUtils,69,83,9,9,11,17,9,2,1,1
Opencast :: external-api,org.opencastproject.external.util,CaptureAgentUtils,0,76,2,4,0,12,2,2,0,1
Opencast :: external-api,org.opencastproject.external.common,ApiResponseBuilder,9,10,0,0,1,1,1,1,1,1
Opencast :: external-api,org.opencastproject.external.common,ApiVersion,6,179,3,7,2,30,3,7,0,5
Opencast :: external-api,org.opencastproject.external.common,ApiMediaType,0,196,0,34,0,37,0,22,0,5
Opencast :: external-api,org.opencastproject.external.common,ApiResponseBuilder.Json,3,70,0,0,1,13,1,8,1,8
Opencast :: external-api,org.opencastproject.external.common,ApiMediaTypeException,0,10,0,0,0,3,0,2,0,2
Opencast :: external-api,org.opencastproject.external.common,ApiFormat,0,9,0,0,0,2,0,1,0,1
Opencast :: external-api,org.opencastproject.external.util.statistics,QueryUtils.TimeSeriesParameters,69,0,4,0,24,0,10,0,8,0
Opencast :: external-api,org.opencastproject.external.util.statistics,QueryUtils.QueryResult,68,0,0,0,14,0,3,0,3,0
Opencast :: external-api,org.opencastproject.external.util.statistics,DataResolutionUtils,36,0,2,0,9,0,4,0,3,0
Opencast :: external-api,org.opencastproject.external.util.statistics,StatisticsProviderUtils,140,0,8,0,31,0,9,0,5,0
Opencast :: external-api,org.opencastproject.external.util.statistics,QueryUtils.QueryResultTimeSeries,31,0,2,0,6,0,2,0,1,0
Opencast :: external-api,org.opencastproject.external.util.statistics,QueryUtils.ExportParameters,25,0,2,0,8,0,4,0,3,0
Opencast :: external-api,org.opencastproject.external.util.statistics,ResourceTypeUtils,31,0,6,0,13,0,6,0,2,0
Opencast :: external-api,org.opencastproject.external.util.statistics,QueryUtils.Query,15,0,0,0,6,0,3,0,3,0
Opencast :: external-api,org.opencastproject.external.util.statistics,DetailLevelUtils,36,0,2,0,9,0,4,0,3,0
Opencast :: external-api,org.opencastproject.external.util.statistics,QueryUtils.Parameters,16,0,0,0,7,0,4,0,4,0
Opencast :: external-api,org.opencastproject.external.util.statistics,QueryUtils,239,0,14,0,60,0,14,0,7,0
