GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: graphql,org.opencastproject.graphql.playlist.type.output,GqlPlaylistEntry,1,20,1,1,0,3,1,3,0,3
Opencast :: graphql,org.opencastproject.graphql.playlist.type.output,GqlPlaylistList,71,0,6,0,12,0,7,0,4,0
Opencast :: graphql,org.opencastproject.graphql.playlist.type.output,GqlInaccessiblePlaylistEntry,9,0,0,0,4,0,2,0,2,0
Opencast :: graphql,org.opencastproject.graphql.playlist.type.output,GqlDeletePlaylistPayload,16,0,0,0,8,0,4,0,4,0
Opencast :: graphql,org.opencastproject.graphql.playlist.type.output,GqlPlaylistAccessControlEntry,0,19,0,0,0,6,0,4,0,4
Opencast :: graphql,org.opencastproject.graphql.playlist.type.output,GqlEventPlaylistEntry,19,9,2,0,4,4,2,2,1,2
Opencast :: graphql,org.opencastproject.graphql.playlist.type.output,GqlPlaylist,7,79,1,5,2,19,2,11,1,9
Opencast :: graphql,org.opencastproject.graphql.type.input,ManagedAclOrderByInput,12,0,0,0,6,0,3,0,3,0
Opencast :: graphql,org.opencastproject.graphql.type.input,AccessControlListInput,28,0,0,0,10,0,4,0,4,0
Opencast :: graphql,org.opencastproject.graphql.type.input,EventOrderByInput,69,0,0,0,25,0,13,0,13,0
Opencast :: graphql,org.opencastproject.graphql.type.input,EventStatus,84,0,0,0,15,0,3,0,3,0
Opencast :: graphql,org.opencastproject.graphql.type.input,PlaylistOrderByInput,42,0,0,0,16,0,8,0,8,0
Opencast :: graphql,org.opencastproject.graphql.type.input,SearchOrder,26,0,0,0,12,0,6,0,6,0
Opencast :: graphql,org.opencastproject.graphql.type.input,GqlCommonSeriesMetadataInput,5,0,0,0,2,0,2,0,2,0
Opencast :: graphql,org.opencastproject.graphql.type.input,EventFilterByInput,24,0,0,0,10,0,5,0,5,0
Opencast :: graphql,org.opencastproject.graphql.type.input,AccessControlItemInput,28,0,0,0,10,0,4,0,4,0
Opencast :: graphql,org.opencastproject.graphql.type.input,Mutation,5,0,0,0,2,0,2,0,2,0
Opencast :: graphql,org.opencastproject.graphql.type.input,OrderDirection,35,0,0,0,8,0,3,0,3,0
Opencast :: graphql,org.opencastproject.graphql.type.input,GqlCommonEventMetadataInput,5,0,0,0,2,0,2,0,2,0
Opencast :: graphql,org.opencastproject.graphql.type.input,SeriesOrderByInput,66,0,0,0,24,0,12,0,12,0
Opencast :: graphql,org.opencastproject.graphql.datafetcher.acl,ManagedAclOffsetDataFetcher,26,0,0,0,6,0,2,0,2,0
Opencast :: graphql,org.opencastproject.graphql.datafetcher,OffsetPaginationParams.Builder,26,0,0,0,8,0,4,0,4,0
Opencast :: graphql,org.opencastproject.graphql.datafetcher,OffsetPaginationParams,17,0,0,0,6,0,3,0,3,0
Opencast :: graphql,org.opencastproject.graphql.datafetcher,ElasticsearchDataFetcher,59,0,4,0,11,0,6,0,4,0
Opencast :: graphql,org.opencastproject.graphql.datafetcher,ParameterDataFetcher,22,0,2,0,6,0,4,0,3,0
