GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: index-service/opencast-authorization-manager,org.opencastproject.authorization.xacml.manager.util,AccessInformationUtil,113,110,14,10,28,25,12,8,5,3
Opencast :: index-service/opencast-authorization-manager,org.opencastproject.authorization.xacml.manager.impl.persistence,JpaAclDb,20,126,3,5,4,24,4,12,2,10
Opencast :: index-service/opencast-authorization-manager,org.opencastproject.authorization.xacml.manager.impl.persistence,ManagedAclEntity,24,85,0,2,4,20,2,10,2,9
Opencast :: index-service/opencast-authorization-manager,org.opencastproject.authorization.xacml.manager.impl.list,AclsListQuery,21,0,0,0,7,0,4,0,4,0
Opencast :: index-service/opencast-authorization-manager,org.opencastproject.authorization.xacml.manager.impl.list,AclListProvider,101,0,6,0,22,0,12,0,9,0
Opencast :: index-service/opencast-authorization-manager,org.opencastproject.authorization.xacml.manager.impl,ManagedAclImpl,0,27,0,0,0,10,0,5,0,5
Opencast :: index-service/opencast-authorization-manager,org.opencastproject.authorization.xacml.manager.impl,AclScanner,72,268,10,14,17,63,10,19,3,14
Opencast :: index-service/opencast-authorization-manager,org.opencastproject.authorization.xacml.manager.impl,AclServiceImpl,237,214,18,8,37,43,15,12,3,11
Opencast :: index-service/opencast-authorization-manager,org.opencastproject.authorization.xacml.manager.impl,OsgiAclServiceFactory,26,0,0,0,8,0,5,0,5,0
Opencast :: index-service/opencast-authorization-manager,org.opencastproject.authorization.xacml.manager.api,AclServiceException,4,0,0,0,2,0,1,0,1,0
Opencast :: index-service/opencast-authorization-manager,org.opencastproject.authorization.xacml.manager.endpoint,OsgiAclServiceRestEndpoint,55,0,0,0,20,0,12,0,12,0
Opencast :: index-service/opencast-authorization-manager,org.opencastproject.authorization.xacml.manager.endpoint,AbstractAclServiceRestEndpoint,108,171,6,18,32,38,7,19,3,11
Opencast :: index-service/opencast-authorization-manager,org.opencastproject.authorization.xacml.manager.endpoint,JsonConv,0,100,0,0,0,15,0,5,0,5
Opencast :: index-service/opencast-capture-admin-service-api,org.opencastproject.capture.admin.api,AgentState,33,0,0,0,1,0,1,0,1,0
Opencast :: index-service/opencast-capture-admin-service-api,org.opencastproject.capture.admin.api,AgentsListQuery,45,0,0,0,13,0,7,0,7,0
Opencast :: index-service/opencast-capture-admin-service-api,org.opencastproject.capture.admin.api,AgentStateUpdate,45,0,0,0,14,0,7,0,7,0
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage.identifier,IdImpl,10,58,5,5,2,14,5,7,0,7
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage.identifier,Id.Adapter,7,11,1,1,1,4,1,3,0,3
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,MediaPackageParser,422,55,50,2,100,15,32,2,6,2
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,MediaPackageElementBuilderFactory,36,33,0,2,8,11,0,5,0,4
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,AdaptivePlaylist.HLSMediaPackageCheck,65,396,7,25,19,72,8,22,1,13
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,MediaPackageSupport.MergeMode,0,27,0,0,0,2,0,1,0,1
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,XMLCatalogImpl.new Comparator() {...},0,17,0,0,0,2,0,2,0,2
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,XMLCatalogImpl.new Comparator() {...},0,7,0,0,0,2,0,2,0,2
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,XMLCatalogImpl.CatalogEntry,29,229,6,22,4,53,8,21,3,12
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,MediaPackageParser.new MappedXMLStreamWriter() {...},8,11,0,0,4,3,3,2,3,2
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,AbstractMediaPackageElement,281,397,45,31,60,100,35,44,6,35
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,DefaultMediaPackageSerializerImpl,70,70,14,8,21,21,13,6,4,4
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,VideoStream.Adapter,0,8,0,0,0,3,0,3,0,3
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,Attachment,0,9,0,0,0,2,0,1,0,1
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,CatalogImpl.Adapter,0,8,0,0,0,3,0,3,0,3
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,MediaPackageReferenceImpl.Adapter,2,15,1,3,1,6,1,4,0,3
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,PublicationImpl,30,137,4,8,8,36,8,13,4,11
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,AdaptivePlaylist,710,453,76,34,146,85,67,33,23,22
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,MediaPackageElementBuilderImpl,158,208,18,18,39,54,12,13,0,7
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,MediaPackageElementParser,108,72,16,4,28,16,11,4,2,3
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,MediaPackageElementFlavor,88,171,9,27,18,31,13,21,8,8
