GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: inspection-service-ffmpeg,org.opencastproject.inspection.ffmpeg.api,CommonMetadata,136,21,0,0,58,9,39,6,39,6
Opencast :: inspection-service-ffmpeg,org.opencastproject.inspection.ffmpeg.api,TemporalMetadata,28,17,0,0,12,7,8,5,8,5
Opencast :: inspection-service-ffmpeg,org.opencastproject.inspection.ffmpeg.api,VideoStreamMetadata,109,34,0,0,47,14,31,10,31,10
Opencast :: inspection-service-ffmpeg,org.opencastproject.inspection.ffmpeg.api,AudioStreamMetadata,49,17,0,0,21,7,14,5,14,5
Opencast :: inspection-service-ffmpeg,org.opencastproject.inspection.ffmpeg.api,SubtitleStreamMetadata,3,0,0,0,1,0,1,0,1,0
Opencast :: inspection-service-ffmpeg,org.opencastproject.inspection.ffmpeg.api,MediaContainerMetadata,21,65,2,4,7,18,7,13,5,12
Opencast :: inspection-service-ffmpeg,org.opencastproject.inspection.ffmpeg.api,StreamMetadata,60,13,0,0,26,5,17,4,17,4
Opencast :: inspection-service-ffmpeg,org.opencastproject.inspection.ffmpeg.api,MediaAnalyzerException,9,0,0,0,4,0,2,0,2,0
Opencast :: inspection-service-ffmpeg,org.opencastproject.inspection.ffmpeg.endpoints,MediaInspectionRestEndpoint,134,0,10,0,33,0,16,0,11,0
Opencast :: inspection-service-ffmpeg,org.opencastproject.inspection.ffmpeg,FFmpegAnalyzer,83,570,33,51,19,136,32,17,1,6
Opencast :: inspection-service-ffmpeg,org.opencastproject.inspection.ffmpeg,MediaInspectionServiceImpl,309,0,11,0,77,0,24,0,18,0
Opencast :: inspection-service-ffmpeg,org.opencastproject.inspection.ffmpeg,MediaInspector,428,525,48,44,91,131,35,23,1,11
Opencast :: inspection-service-ffmpeg,org.opencastproject.inspection.ffmpeg,MediaInspectionServiceImpl.Operation,15,0,0,0,2,0,1,0,1,0
