GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: list-providers-api,org.opencastproject.list.util,ListProviderUtil,35,55,8,4,6,9,7,3,1,3
Opencast :: list-providers-api,org.opencastproject.list.util,ListProviderUtil.ValueComparer,0,33,0,2,0,9,0,3,0,2
Opencast :: list-providers-api,org.opencastproject.list.util,FiltersUtils.new ResourceListFilter() {...},38,0,2,0,6,0,7,0,6,0
Opencast :: list-providers-api,org.opencastproject.list.util,FiltersUtils,22,0,6,0,3,0,4,0,1,0
Opencast :: list-providers-api,org.opencastproject.list.api,DefaultResourceListQuery,45,45,2,0,11,14,8,6,7,6
Opencast :: list-providers-api,org.opencastproject.list.api,ListProviderNotFoundException,4,0,0,0,2,0,1,0,1,0
Opencast :: list-providers-api,org.opencastproject.list.api,EmptyResourceListQuery,20,0,0,0,8,0,8,0,8,0
Opencast :: list-providers-api,org.opencastproject.list.api,ResourceListFilter.SourceType,39,0,0,0,2,0,1,0,1,0
Opencast :: list-providers-api,org.opencastproject.list.api,ListProviderException,9,0,0,0,4,0,2,0,2,0
Opencast :: list-providers-api,org.opencastproject.list.query,StringListFilter,49,0,0,0,15,0,7,0,7,0
