GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: list-providers-common,org.opencastproject.list.common.provider,ContributorsListProvider,147,398,24,32,32,81,21,21,5,9
Opencast :: list-providers-common,org.opencastproject.list.common.provider,ServicesListProvider,69,105,10,10,17,21,11,7,4,4
Opencast :: list-providers-common,org.opencastproject.list.common.provider,EventsListProvider.IsPublished,15,0,0,0,2,0,1,0,1,0
Opencast :: list-providers-common,org.opencastproject.list.common.provider,AclAdditionalActionsListProvider,54,0,2,0,18,0,9,0,8,0
Opencast :: list-providers-common,org.opencastproject.list.common.provider,PlaylistsListProvider,70,0,4,0,20,0,11,0,9,0
Opencast :: list-providers-common,org.opencastproject.list.common.provider,UsersListProvider,123,181,36,22,20,31,29,9,5,4
Opencast :: list-providers-common,org.opencastproject.list.common.provider,JobsListProvider,18,111,4,8,7,21,8,6,4,4
Opencast :: list-providers-common,org.opencastproject.list.common.provider,RolesListProvider,110,0,12,0,27,0,14,0,8,0
Opencast :: list-providers-common,org.opencastproject.list.common.provider,SeriesListProvider,572,0,76,0,110,0,49,0,11,0
Opencast :: list-providers-common,org.opencastproject.list.common.provider,ContributorsListProvider.Contributor,6,15,0,0,1,6,1,3,1,3
Opencast :: list-providers-common,org.opencastproject.list.common.provider,ContributorsListProvider.new Comparator() {...},9,0,0,0,2,0,2,0,2,0
Opencast :: list-providers-common,org.opencastproject.list.common.provider,EventsListProvider.Comments,21,0,0,0,2,0,1,0,1,0
Opencast :: list-providers-common,org.opencastproject.list.common.provider,ContributorsListProvider.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
Opencast :: list-providers-common,org.opencastproject.list.common.provider,ContributorsListProvider.new Comparator() {...},0,7,0,0,0,2,0,2,0,2
Opencast :: list-providers-common,org.opencastproject.list.common.provider,EventsListProvider,415,0,50,0,62,0,33,0,8,0
Opencast :: list-providers-common,org.opencastproject.list.common.provider,EventsListProvider.NeedsCutting,15,0,0,0,2,0,1,0,1,0
Opencast :: list-providers-common,org.opencastproject.list.common.provider,GroupsListProvider,160,0,18,0,36,0,17,0,8,0
Opencast :: list-providers-common,org.opencastproject.list.common.provider,ServersListProvider,60,128,18,10,18,32,16,7,4,4
Opencast :: list-providers-common,org.opencastproject.list.common.provider,BooleanListProvider,89,0,16,0,22,0,15,0,7,0
Opencast :: list-providers-common,org.opencastproject.list.common.query,ServersListQuery,83,57,6,0,21,14,10,7,7,7
Opencast :: list-providers-common,org.opencastproject.list.common.query,JobsListQuery,95,45,6,0,24,11,13,4,10,4
Opencast :: list-providers-common,org.opencastproject.list.common.query,ServicesListQuery,111,86,9,1,30,21,17,8,12,8
Opencast :: list-providers-common,org.opencastproject.list.common.query,UsersListQuery,69,0,0,0,19,0,10,0,10,0
Opencast :: list-providers-common,org.opencastproject.list.common.query,SeriesListQuery,247,0,4,0,68,0,36,0,34,0
Opencast :: list-providers-common,org.opencastproject.list.common.query,PlaylistsListQuery,67,0,0,0,18,0,10,0,10,0
Opencast :: list-providers-common,org.opencastproject.list.common.query,EventListQuery,298,0,0,0,76,0,38,0,38,0
Opencast :: list-providers-common,org.opencastproject.list.common.query,GroupsListQuery,45,0,0,0,13,0,7,0,7,0
