GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,TemporalDecomposition.DecompositionCriteria,0,9,0,0,0,2,0,1,0,1
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,MultimediaContentTypeImpl,12,118,4,8,2,32,4,11,0,9
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,Segment.Type,0,21,0,0,0,2,0,1,0,1
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,MultimediaContent.Type,0,21,0,0,0,2,0,1,0,1
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,TextAnnotationImpl,22,173,3,9,6,43,6,13,3,10
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,MediaDurationImpl,174,265,11,19,32,59,21,15,10,11
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,Mpeg7Parser,155,684,17,73,26,147,20,36,4,7
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,SpatioTemporalDecompositionImpl,24,109,4,6,5,27,5,10,1,9
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,MediaRelTimeImpl,26,0,0,0,4,0,2,0,2,0
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,KeywordAnnotationImpl,9,36,1,1,2,13,2,4,1,4
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,MultimediaContentImpl,33,74,2,4,6,18,6,6,4,5
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,VideoText.Type,0,15,0,0,0,2,0,1,0,1
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,VideoTextImpl,42,235,5,5,14,56,12,11,7,11
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,MediaTimeImpl,46,47,1,3,10,14,4,5,3,4
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,TextualImpl,80,56,9,3,22,19,13,6,7,6
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,FreeTextAnnotationImpl,0,22,0,0,0,8,0,3,0,3
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,SegmentImpl,57,185,5,17,11,44,9,21,5,14
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,Mpeg7Parser.ParserState,0,27,0,0,0,2,0,1,0,1
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,Mpeg7CatalogService,22,29,2,0,6,6,3,2,2,2
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,MediaTimePointImpl,238,331,9,7,43,77,22,16,14,16
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,MediaLocatorImpl,21,34,3,1,6,12,3,4,1,4
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,SegmentImpl.new Comparator() {...},21,0,4,0,6,0,4,0,2,0
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,SegmentImpl.new Comparator() {...},21,0,4,0,6,0,4,0,2,0
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,Mpeg7CatalogImpl,193,222,30,12,61,61,31,15,12,13
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,TemporalDecompositionImpl,24,142,7,9,7,35,7,13,1,11
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,SpatioTemporalLocatorImpl,11,25,2,0,4,8,2,3,1,3
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,KeywordAnnotation.Type,21,0,0,0,2,0,1,0,1,0
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,Mpeg7Catalog,4,0,0,0,1,0,1,0,1,0
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,MediaRelTimePointImpl,91,146,3,3,20,28,6,7,3,7
Opencast :: mpeg7,org.opencastproject.metadata.mpeg7,MultimediaContentType.Type,0,21,0,0,0,2,0,1,0,1
