GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: oaipmh-persistence,org.opencastproject.oaipmh.persistence,OaiPmhDatabaseException,13,0,0,0,6,0,3,0,3,0
Opencast :: oaipmh-persistence,org.opencastproject.oaipmh.persistence,OaiPmhSetDefinitionImpl,118,120,10,10,12,30,11,6,3,4
Opencast :: oaipmh-persistence,org.opencastproject.oaipmh.persistence,OaiPmhEntity,51,109,4,0,12,36,7,16,5,16
Opencast :: oaipmh-persistence,org.opencastproject.oaipmh.persistence,QueryBuilder.new Query() {...},3,66,0,0,1,11,1,11,1,11
Opencast :: oaipmh-persistence,org.opencastproject.oaipmh.persistence,QueryBuilder,123,130,2,0,40,36,15,9,14,9
Opencast :: oaipmh-persistence,org.opencastproject.oaipmh.persistence,OaiPmhSetDefinitionImpl.new OaiPmhSetDefinitionFilter() {...},0,16,0,0,0,3,0,3,0,3
Opencast :: oaipmh-persistence,org.opencastproject.oaipmh.persistence,OaiPmhEntityId,33,0,0,0,14,0,7,0,7,0
Opencast :: oaipmh-persistence,org.opencastproject.oaipmh.persistence,OaiPmhElementEntity,15,28,0,0,7,11,4,6,4,6
Opencast :: oaipmh-persistence,org.opencastproject.oaipmh.persistence.impl,OaiPmhDatabaseImpl,4,43,0,0,2,16,1,10,1,10
Opencast :: oaipmh-persistence,org.opencastproject.oaipmh.persistence.impl,SearchResultElementItemImpl,26,39,4,0,6,11,4,6,2,6
Opencast :: oaipmh-persistence,org.opencastproject.oaipmh.persistence.impl,SearchResultImpl,0,26,0,0,0,9,0,5,0,5
Opencast :: oaipmh-persistence,org.opencastproject.oaipmh.persistence.impl,AbstractOaiPmhDatabase,320,581,47,47,58,122,30,33,0,16
Opencast :: oaipmh-persistence,org.opencastproject.oaipmh.persistence.impl,SearchResultItemImpl,103,85,8,2,27,22,10,9,6,8
