GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: oaipmh,org.opencastproject.oaipmh.util,XmlGen.Namespace,0,15,0,0,0,6,0,3,0,3
Opencast :: oaipmh,org.opencastproject.oaipmh.util,OsgiUtil,70,0,8,0,18,0,8,0,4,0
Opencast :: oaipmh,org.opencastproject.oaipmh.util,ResumptionTokenStore,39,0,0,0,9,0,5,0,5,0
Opencast :: oaipmh,org.opencastproject.oaipmh.util,XmlGen,227,295,15,13,51,63,24,32,15,27
Opencast :: oaipmh,org.opencastproject.oaipmh.util,ConcurrencyUtil,27,0,4,0,10,0,3,0,1,0
Opencast :: oaipmh,org.opencastproject.oaipmh.server,OaiPmhRepository.ListItemsEnv.BadResumptionTokenException,6,0,0,0,1,0,1,0,1,0
Opencast :: oaipmh,org.opencastproject.oaipmh.server,Functions,5,20,0,0,2,6,0,3,0,3
Opencast :: oaipmh,org.opencastproject.oaipmh.server,OaiPmhRepository.4.1.new Function() {...},0,33,0,0,0,5,0,2,0,2
Opencast :: oaipmh,org.opencastproject.oaipmh.server,OaiPmhServer,327,22,16,0,88,6,25,3,17,3
Opencast :: oaipmh,org.opencastproject.oaipmh.server,OaiPmhRepository.BadArgumentException,3,0,0,0,1,0,1,0,1,0
Opencast :: oaipmh,org.opencastproject.oaipmh.server,OaiPmhServer.new Params() {...},17,0,0,0,3,0,3,0,3,0
Opencast :: oaipmh,org.opencastproject.oaipmh.server,OaiPmhRepository.new OaiXmlGen() {...},0,69,0,0,0,5,0,2,0,2
Opencast :: oaipmh,org.opencastproject.oaipmh.server,OaiPmhRepository.5.new OaiPmhRepository.ListItemsEnv.ListXmlGen() {...},0,19,0,0,0,4,0,3,0,3
Opencast :: oaipmh,org.opencastproject.oaipmh.server,OaiPmhRepository.4.new OaiPmhRepository.ListItemsEnv.ListXmlGen() {...},0,21,0,0,0,4,0,2,0,2
Opencast :: oaipmh,org.opencastproject.oaipmh.server,OaiPmhRepository.new OaiVerbXmlGen() {...},0,49,0,0,0,5,0,3,0,3
Opencast :: oaipmh,org.opencastproject.oaipmh.server,OaiPmhRepository.new OaiPmhRepository.ListItemsEnv() {...},0,13,0,0,0,2,0,2,0,2
Opencast :: oaipmh,org.opencastproject.oaipmh.server,OaiPmhRepository.new OaiPmhRepository.ListItemsEnv() {...},0,10,0,0,0,2,0,2,0,2
Opencast :: oaipmh,org.opencastproject.oaipmh.server,OaiPmhRepository.new OaiVerbXmlGen() {...},109,20,3,1,11,3,3,2,1,2
Opencast :: oaipmh,org.opencastproject.oaipmh.server,OaiDcMetadataProvider,0,14,0,0,0,4,0,3,0,3
