GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: playlists,org.opencastproject.playlists.serialization,JaxbPlaylistAccessControlEntry,61,34,6,0,17,9,5,3,2,3
Opencast :: playlists,org.opencastproject.playlists.serialization,JaxbPlaylistEntry,88,33,10,0,28,9,15,3,10,3
Opencast :: playlists,org.opencastproject.playlists.serialization,JaxbPlaylist,140,90,18,0,37,29,14,3,5,3
Opencast :: playlists,org.opencastproject.playlists.serialization,JaxbPlaylist.DateAdapter,4,17,2,2,0,3,2,3,0,3
Opencast :: playlists,org.opencastproject.playlists.persistence,PlaylistEntryTypeConverter,29,0,4,0,10,0,6,0,4,0
Opencast :: playlists,org.opencastproject.playlists.persistence,PlaylistDatabaseServiceImpl,150,246,3,9,27,51,5,22,2,19
Opencast :: playlists,org.opencastproject.playlists.persistence,PlaylistDatabaseException,13,0,0,0,6,0,3,0,3,0
Opencast :: playlists,org.opencastproject.playlists,PlaylistService,507,229,48,24,116,49,41,19,12,12
Opencast :: playlists,org.opencastproject.playlists,PlaylistRestService,342,0,12,0,79,0,24,0,18,0
Opencast :: playlists,org.opencastproject.playlists,PlaylistEntry,27,67,2,8,9,21,7,11,5,8
Opencast :: playlists,org.opencastproject.playlists,Playlist,41,175,6,8,8,54,6,26,3,22
Opencast :: playlists,org.opencastproject.playlists,PlaylistEntryType,3,25,0,0,1,5,1,2,1,2
Opencast :: playlists,org.opencastproject.playlists,PlaylistAccessControlEntry,42,46,0,0,14,19,7,8,7,8
Opencast :: playlists,org.opencastproject.playlists,PlaylistRestService.new GenericEntity() {...},4,0,0,0,1,0,1,0,1,0
