GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: publication-service-youtube-v3,org.opencastproject.publication.youtube,YouTubeKey,0,45,0,0,0,8,0,1,0,1
Opencast :: publication-service-youtube-v3,org.opencastproject.publication.youtube,VideoUpload,39,0,0,0,14,0,7,0,7,0
Opencast :: publication-service-youtube-v3,org.opencastproject.publication.youtube,YouTubeAPIVersion3ServiceImpl,505,0,26,0,122,0,29,0,16,0
Opencast :: publication-service-youtube-v3,org.opencastproject.publication.youtube,YouTubeV3PublicationServiceImpl,618,126,61,2,139,34,46,9,14,9
Opencast :: publication-service-youtube-v3,org.opencastproject.publication.youtube,YouTubePublicationAdapter,148,0,18,0,37,0,16,0,7,0
Opencast :: publication-service-youtube-v3,org.opencastproject.publication.youtube,YouTubeUtils,0,35,0,4,0,8,0,5,0,3
Opencast :: publication-service-youtube-v3,org.opencastproject.publication.youtube,UploadProgressListener,67,0,5,0,22,0,7,0,3,0
Opencast :: publication-service-youtube-v3,org.opencastproject.publication.youtube,YouTubeV3PublicationServiceImpl.Operation,0,15,0,0,0,2,0,1,0,1
Opencast :: publication-service-youtube-v3,org.opencastproject.publication.youtube.auth,OAuth2CredentialFactoryImpl,172,0,2,0,37,0,5,0,4,0
Opencast :: publication-service-youtube-v3,org.opencastproject.publication.youtube.auth,GoogleAPICredentialRequestor,6,75,2,6,0,21,2,6,0,4
Opencast :: publication-service-youtube-v3,org.opencastproject.publication.youtube.auth,ClientCredentials,13,80,2,2,3,20,3,10,1,10
Opencast :: publication-service-youtube-v3,org.opencastproject.publication.youtube.endpoint,YouTubePublicationRestService,94,0,4,0,26,0,9,0,7,0
