GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: runtime-info,org.opencastproject.runtimeinfo,RestDocsServlet,297,0,26,0,63,0,24,0,11,0
Opencast :: runtime-info,org.opencastproject.runtimeinfo,RuntimeInfo,523,231,24,19,113,57,25,15,12,6
Opencast :: runtime-info,org.opencastproject.runtimeinfo,RuntimeInfo.Health,8,41,0,0,4,14,2,7,2,7
Opencast :: runtime-info,org.opencastproject.runtimeinfo.rest,RestEndpointData,169,262,27,23,31,73,27,25,6,21
Opencast :: runtime-info,org.opencastproject.runtimeinfo.rest,RestFormData,136,67,25,11,39,18,26,1,8,1
Opencast :: runtime-info,org.opencastproject.runtimeinfo.rest,RestParamData.Type,0,45,0,0,0,2,0,1,0,1
Opencast :: runtime-info,org.opencastproject.runtimeinfo.rest,RestFormatData,25,19,6,2,5,7,6,2,2,2
Opencast :: runtime-info,org.opencastproject.runtimeinfo.rest,RestParamData,73,101,14,10,20,32,19,11,8,10
Opencast :: runtime-info,org.opencastproject.runtimeinfo.rest,StatusData,138,70,41,10,80,26,45,10,4,6
Opencast :: runtime-info,org.opencastproject.runtimeinfo.rest,RestEndpointHolderData,31,48,4,6,6,16,8,5,4,4
Opencast :: runtime-info,org.opencastproject.runtimeinfo.rest,RestDocData,232,211,42,24,44,38,33,8,4,4
