GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: scheduler-impl,org.opencastproject.scheduler.impl,RuntimeNotFoundException,0,9,0,0,0,4,0,2,0,2
Opencast :: scheduler-impl,org.opencastproject.scheduler.impl,SchedulerServiceDatabaseException,4,0,0,0,2,0,1,0,1,0
Opencast :: scheduler-impl,org.opencastproject.scheduler.impl,OldScheduledScanner,112,0,2,0,42,0,17,0,16,0
Opencast :: scheduler-impl,org.opencastproject.scheduler.impl,CaptureNowProlongingService,404,0,12,0,109,0,29,0,23,0
Opencast :: scheduler-impl,org.opencastproject.scheduler.impl,SchedulerServiceImpl.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
Opencast :: scheduler-impl,org.opencastproject.scheduler.impl,SchedulerUtil,379,203,26,16,63,44,14,14,1,6
Opencast :: scheduler-impl,org.opencastproject.scheduler.impl,SchedulerEventImpl,75,0,0,0,26,0,9,0,9,0
Opencast :: scheduler-impl,org.opencastproject.scheduler.impl,SchedulerServiceImpl,723,2867,97,159,181,638,89,119,7,73
Opencast :: scheduler-impl,org.opencastproject.scheduler.impl,CalendarGenerator,122,256,9,5,33,51,8,5,1,5
Opencast :: scheduler-impl,org.opencastproject.scheduler.impl,CaptureNowProlongingService.Runner,144,0,6,0,38,0,8,0,5,0
Opencast :: scheduler-impl,org.opencastproject.scheduler.impl,OldScheduledScanner.Runner,44,0,2,0,9,0,4,0,3,0
Opencast :: scheduler-impl,org.opencastproject.scheduler.impl,SchedulerUtil.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
Opencast :: scheduler-impl,org.opencastproject.scheduler.impl.persistence,SchedulerServiceDatabaseImpl,90,584,1,33,31,125,1,42,0,26
Opencast :: scheduler-impl,org.opencastproject.scheduler.impl.persistence,EventIdPK,52,9,8,0,11,4,9,1,5,1
Opencast :: scheduler-impl,org.opencastproject.scheduler.impl.persistence,ExtendedEventDto,0,94,0,0,0,41,0,27,0,27
Opencast :: scheduler-impl,org.opencastproject.scheduler.impl.persistence,LastModifiedDto,0,17,0,0,0,8,0,5,0,5
Opencast :: scheduler-impl,org.opencastproject.scheduler.endpoint,SchedulerRestService,2620,91,195,7,632,24,141,6,42,4
