GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: search-service-impl/opencast-search-service-api,org.opencastproject.search.api,SearchResult,622,0,48,0,121,0,54,0,30,0
Opencast :: search-service-impl/opencast-search-service-api,org.opencastproject.search.api,SearchResultList,26,0,0,0,9,0,3,0,3,0
Opencast :: search-service-impl/opencast-search-service-api,org.opencastproject.search.api,SearchService.IndexEntryType,15,0,0,0,2,0,1,0,1,0
Opencast :: search-service-impl/opencast-search-service-api,org.opencastproject.search.api,SearchException,13,0,0,0,6,0,3,0,3,0
Opencast :: search-service-impl/opencast-series-service-api,org.opencastproject.series.api,SeriesCreator,71,0,6,0,14,0,9,0,6,0
Opencast :: search-service-impl/opencast-series-service-api,org.opencastproject.series.api,Series,59,0,2,0,23,0,17,0,16,0
Opencast :: search-service-impl/opencast-series-service-api,org.opencastproject.series.api,SeriesException,16,0,0,0,8,0,4,0,4,0
Opencast :: search-service-impl/opencast-dublincore,org.opencastproject.metadata.dublincore,Precision,0,39,0,0,0,2,0,1,0,1
Opencast :: search-service-impl/opencast-dublincore,org.opencastproject.metadata.dublincore,DublinCoreCatalog.new Predicate() {...},0,19,0,0,0,2,0,2,0,2
Opencast :: search-service-impl/opencast-dublincore,org.opencastproject.metadata.dublincore,StaticMetadataServiceDublinCoreImpl,144,260,17,3,44,62,18,9,8,9
Opencast :: search-service-impl/opencast-dublincore,org.opencastproject.metadata.dublincore,MetadataJson,907,0,138,0,218,0,93,0,14,0
Opencast :: search-service-impl/opencast-dublincore,org.opencastproject.metadata.dublincore,MetadataField,485,81,33,4,103,28,49,6,28,6
Opencast :: search-service-impl/opencast-dublincore,org.opencastproject.metadata.dublincore,OpencastMetadataCodec.new Function() {...},6,0,0,0,2,0,2,0,2,0
Opencast :: search-service-impl/opencast-dublincore,org.opencastproject.metadata.dublincore,OpencastMetadataCodec.new Function() {...},7,0,0,0,2,0,2,0,2,0
Opencast :: search-service-impl/opencast-dublincore,org.opencastproject.metadata.dublincore,DublinCoreUtil,36,136,0,4,9,26,3,8,3,6
Opencast :: search-service-impl/opencast-dublincore,org.opencastproject.metadata.dublincore,OpencastMetadataCodec.new Function() {...},6,0,0,0,2,0,2,0,2,0
Opencast :: search-service-impl/opencast-dublincore,org.opencastproject.metadata.dublincore,DublinCoreGsonAdapter,23,0,0,0,7,0,3,0,3,0
Opencast :: search-service-impl/opencast-dublincore,org.opencastproject.metadata.dublincore,MetadataField.Type,0,69,0,0,0,2,0,1,0,1
Opencast :: search-service-impl/opencast-dublincore,org.opencastproject.metadata.dublincore,OpencastDctermsDublinCore.Episode,19,4,0,0,7,2,4,1,4,1
Opencast :: search-service-impl/opencast-dublincore,org.opencastproject.metadata.dublincore,DublinCoreValue,76,63,12,0,4,13,10,9,4,9
Opencast :: search-service-impl/opencast-dublincore,org.opencastproject.metadata.dublincore,MetadataList,97,0,0,0,18,0,11,0,11,0
Opencast :: search-service-impl/opencast-dublincore,org.opencastproject.metadata.dublincore,MetadataJson.JsonType,51,0,0,0,2,0,1,0,1,0
