GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl,OsgiIncidentService,181,0,11,0,48,0,19,0,13,0
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl,ServiceRegistryJpaImpl.JobProducerHeartbeat,195,0,20,0,47,0,12,0,2,0
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl,IncidentDto,71,127,4,4,13,26,5,9,1,9
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl,AbstractIncidentService,412,178,40,4,85,31,30,13,10,11
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl,JobDispatcher.JobDispatcherRunner.new Function() {...},4,3,0,0,1,1,1,1,1,1
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl,IncidentTextDto,18,11,0,0,6,3,3,2,3,2
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl,JobDispatcher.JobDispatcherRunner.new Comparator() {...},4,3,0,0,1,1,1,1,1,1
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl,JobDispatcher.JobDispatcherRunner.new Function() {...},4,3,0,0,1,1,1,1,1,1
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl,ServiceUnavailableException,0,4,0,0,0,2,0,1,0,1
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl,ServiceRegistryJpaImpl.LoadComparator,0,47,0,2,0,11,0,3,0,2
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl,ServiceRegistryJpaImpl.LoadComparatorEncoding,72,0,14,0,16,0,9,0,2,0
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl,UndispatchableJobException,0,4,0,0,0,2,0,1,0,1
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl,ServiceRegistryJpaImpl,1489,3087,122,220,325,661,139,181,46,102
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl,NopServiceImpl,44,0,0,0,16,0,8,0,8,0
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl,JobDispatcher,100,121,10,4,29,41,9,12,2,12
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl,AbstractIncidentService.new IncidentL10n() {...},15,0,0,0,3,0,3,0,3,0
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl,JobDispatcher.JobDispatcherRunner,212,739,39,57,50,146,29,27,0,8
Opencast :: serviceregistry,org.opencastproject.serviceregistry.command,MaintenanceCommand,7,0,0,0,3,0,2,0,2,0
Opencast :: serviceregistry,org.opencastproject.serviceregistry.internal,RestServiceTracker,120,0,4,0,36,0,7,0,5,0
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl.endpoint,NopServiceEndpoint,18,0,0,0,6,0,4,0,4,0
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl.endpoint,ServiceRegistryEndpoint,930,0,78,0,215,0,78,0,39,0
Opencast :: serviceregistry,org.opencastproject.serviceregistry.impl.endpoint,IncidentServiceEndpoint,378,0,22,0,77,0,21,0,10,0
