GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure,MicrosoftAzureStorageClientException,13,0,0,0,6,0,3,0,3,0
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure,MicrosoftAzureSpeechClientException,13,0,0,0,6,0,3,0,3,0
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure,MicrosoftAzureTranscriptionService.Operation,9,0,0,0,2,0,1,0,1,0
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure,MicrosoftAzureTranscriptionService.WorkflowDispatcher,349,0,26,0,75,0,15,0,2,0
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure,MicrosoftAzureNotFoundException,13,0,0,0,6,0,3,0,3,0
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure,MicrosoftAzureSpeechServicesClient,764,15,62,0,150,5,46,2,10,2
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure,MicrosoftAzureStorageClient,603,0,28,0,110,0,25,0,8,0
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure,MicrosoftAzureTranscriptionService,1667,0,102,0,357,0,82,0,31,0
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure,HttpUtils,56,0,4,0,16,0,5,0,3,0
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure,MicrosoftAzureAuthorization,378,176,34,6,73,41,23,3,3,3
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure,MicrosoftAzureNotAllowedException,13,0,0,0,6,0,3,0,3,0
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure.endpoint,MicrosoftAzureTranscriptionRestService,28,0,0,0,11,0,7,0,7,0
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure.model,MicrosoftAzureSpeechTranscriptionJson,211,0,22,0,36,0,16,0,5,0
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure.model,MicrosoftAzureSpeechTranscriptionFiles,3,0,0,0,1,0,1,0,1,0
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure.model,MicrosoftAzureSpeechTranscription,17,37,1,5,4,10,4,4,3,2
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure.model,MicrosoftAzureSpeechTranscription.TranscriptionSelf,3,0,0,0,1,0,1,0,1,0
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure.model,MicrosoftAzureSpeechTranscriptionJsonRecognizedPhrases,234,66,20,8,41,16,19,4,8,1
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure.model,MicrosoftAzureSpeechTranscriptionFile.TranscriptionFileLinks,3,0,0,0,1,0,1,0,1,0
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure.model,MicrosoftAzureSpeechTranscriptionFile,8,0,0,0,2,0,2,0,2,0
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure.model,MicrosoftAzureSpeechTranscriptions,0,3,0,0,0,1,0,1,0,1
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure.model,MicrosoftAzureSpeechTranscription.TranscriptionFiles,3,0,0,0,1,0,1,0,1,0
Opencast :: transcription-service-microsoft-azure,org.opencastproject.transcription.microsoft.azure.model,MicrosoftAzureSpeechTranscriptionJsonRecognizedPhrase,3,0,0,0,1,0,1,0,1,0
