GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: urlsigning-verifier-service-impl/opencast-urlsigning-common,org.opencastproject.urlsigning.common,BasicResourceStrategyImpl,0,5,0,0,0,2,0,2,0,2
Opencast :: urlsigning-verifier-service-impl/opencast-urlsigning-common,org.opencastproject.urlsigning.common,Policy,4,86,0,2,2,20,1,11,1,10
Opencast :: urlsigning-verifier-service-impl/opencast-urlsigning-common,org.opencastproject.urlsigning.common,ResourceRequest,0,51,0,0,0,21,0,13,0,13
Opencast :: urlsigning-verifier-service-impl/opencast-urlsigning-common,org.opencastproject.urlsigning.common,ResourceRequest.Status,0,27,0,0,0,2,0,1,0,1
Opencast :: urlsigning-verifier-service-impl/opencast-urlsigning-common,org.opencastproject.urlsigning.utils,SHA256Util,0,32,0,0,0,6,0,1,0,1
Opencast :: urlsigning-verifier-service-impl/opencast-urlsigning-common,org.opencastproject.urlsigning.utils,ResourceRequestUtil,89,545,6,56,20,118,6,34,1,8
Opencast :: urlsigning-verifier-service-impl/opencast-urlsigning-common,org.opencastproject.urlsigning.utils,PolicyUtils,3,169,0,6,2,35,0,10,0,7
Opencast :: urlsigning-verifier-service-impl/opencast-urlsigning-service-api,org.opencastproject.security.urlsigning.exception,UrlSigningException.Reason,0,15,0,0,0,2,0,1,0,1
Opencast :: urlsigning-verifier-service-impl/opencast-urlsigning-service-api,org.opencastproject.security.urlsigning.exception,UrlSigningException,12,19,0,0,4,5,3,3,3,3
Opencast :: urlsigning-verifier-service-impl/opencast-urlsigning-service-api,org.opencastproject.security.urlsigning.utils,UrlSigningServiceOsgiUtil,143,0,6,0,28,0,8,0,5,0
