GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: usertracking-impl,org.opencastproject.usertracking.endpoint,FootprintsListImpl,0,26,0,0,0,8,0,4,0,4
Opencast :: usertracking-impl,org.opencastproject.usertracking.endpoint,ReportItemImpl,3,21,0,0,1,10,1,6,1,6
Opencast :: usertracking-impl,org.opencastproject.usertracking.endpoint,StatsImpl,17,0,0,0,8,0,5,0,5,0
Opencast :: usertracking-impl,org.opencastproject.usertracking.endpoint,ReportImpl,26,59,0,0,12,17,7,9,7,9
Opencast :: usertracking-impl,org.opencastproject.usertracking.endpoint,FootprintImpl,0,17,0,0,0,8,0,5,0,5
Opencast :: usertracking-impl,org.opencastproject.usertracking.endpoint,UserTrackingRestService,493,0,46,0,121,0,40,0,17,0
Opencast :: usertracking-impl,org.opencastproject.usertracking.impl,UserSessionImpl,7,24,0,0,3,11,2,7,2,7
Opencast :: usertracking-impl,org.opencastproject.usertracking.impl,UserActionImpl,0,80,0,0,0,32,0,19,0,19
Opencast :: usertracking-impl,org.opencastproject.usertracking.impl,UserTrackingServiceImpl,73,1167,19,51,17,289,16,60,0,41
Opencast :: usertracking-impl,org.opencastproject.usertracking.impl,UserActionListImpl,0,74,0,4,0,23,0,12,0,10
