GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: workflow-condition-parser,org.opencastproject.workflow.conditionparser,ComparisonOperator,4,55,2,4,2,7,2,5,0,2
Opencast :: workflow-condition-parser,org.opencastproject.workflow.conditionparser,Atom,106,118,21,13,17,24,16,12,2,8
Opencast :: workflow-condition-parser,org.opencastproject.workflow.conditionparser,NumericalOperator,4,39,2,2,2,5,2,3,0,2
Opencast :: workflow-condition-parser,org.opencastproject.workflow.conditionparser,WorkflowConditionBooleanInterpreter,59,203,19,31,9,35,17,19,2,7
Opencast :: workflow-condition-parser,org.opencastproject.workflow.conditionparser,WorkflowConditionInterpreter,7,241,6,24,3,69,6,15,0,6
Opencast :: workflow-condition-parser,org.opencastproject.workflow.conditionparser,WorkflowConditionInterpreter.new BaseErrorListener() {...},8,3,0,0,1,1,1,1,1,1
Opencast :: workflow-condition-parser,org.opencastproject.workflow.conditionparser.antlr,WorkflowConditionParser.RelationContext,34,16,6,0,8,4,8,3,5,3
Opencast :: workflow-condition-parser,org.opencastproject.workflow.conditionparser.antlr,WorkflowConditionParser,167,580,7,21,52,125,12,22,5,12
Opencast :: workflow-condition-parser,org.opencastproject.workflow.conditionparser.antlr,WorkflowConditionParser.BooleanExpressionContext,27,25,5,1,7,5,7,4,4,4
Opencast :: workflow-condition-parser,org.opencastproject.workflow.conditionparser.antlr,WorkflowConditionParser.BooleanTermContext,27,25,5,1,7,5,7,4,4,4
Opencast :: workflow-condition-parser,org.opencastproject.workflow.conditionparser.antlr,WorkflowConditionBaseVisitor,24,3,0,0,6,1,6,1,6,1
Opencast :: workflow-condition-parser,org.opencastproject.workflow.conditionparser.antlr,WorkflowConditionParser.BooleanValueContext,27,34,5,1,7,7,7,6,4,6
Opencast :: workflow-condition-parser,org.opencastproject.workflow.conditionparser.antlr,WorkflowConditionLexer,16,241,0,8,8,27,8,9,8,5
Opencast :: workflow-condition-parser,org.opencastproject.workflow.conditionparser.antlr,WorkflowConditionParser.AtomContext,41,15,6,0,9,4,9,3,6,3
Opencast :: workflow-condition-parser,org.opencastproject.workflow.conditionparser.antlr,WorkflowConditionBaseListener,19,0,0,0,17,0,17,0,17,0
Opencast :: workflow-condition-parser,org.opencastproject.workflow.conditionparser.antlr,WorkflowConditionParser.RelationOperandContext,34,20,6,0,8,5,8,4,5,4
