GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowOperationResult.Action,0,21,0,0,0,2,0,1,0,1
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowServiceDatabaseImpl,227,322,5,5,50,60,10,18,6,17
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowOperationInstance.OperationState,0,45,0,0,0,2,0,1,0,1
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowOperationDefinitionImpl.Adapter,0,8,0,0,0,3,0,3,0,3
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,RetryStrategy,0,21,0,0,0,4,0,1,0,1
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,JaxbWorkflowOperationInstance.DateAdapter,4,17,2,2,0,3,2,3,0,3
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,ConfiguredWorkflow,33,0,0,0,9,0,6,0,6,0
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowOperationInstance,23,367,9,31,8,116,9,55,2,42
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,AbstractWorkflowOperationHandler.Configuration,0,27,0,0,0,2,0,1,0,1
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,XmlWorkflowParser,100,97,2,0,25,26,3,8,2,8
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowStateMappingImpl,30,3,0,0,11,2,6,1,6,1
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowOperationResultImpl,25,47,2,2,10,18,6,8,4,8
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowIdentifier,39,51,7,5,8,9,10,3,4,3
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowListener,2,0,0,0,2,0,2,0,2,0
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowDefinitionImpl.Adapter,8,0,0,0,3,0,3,0,3,0
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowStateListener,88,162,9,9,16,35,10,10,3,8
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowInstance.WorkflowState.Adapter,4,15,2,2,0,3,2,3,0,3
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,JaxbWorkflowInstance,151,158,6,4,37,35,6,6,3,4
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowParsingException,8,0,0,0,4,0,2,0,2,0
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowOperationDefinitionImpl,95,111,19,9,32,35,20,17,9,14
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowDefinitionSet,29,0,2,0,11,0,5,0,4,0
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,ConfiguredTagsAndFlavors.TargetTags,0,39,0,0,0,13,0,5,0,5
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,RetryStrategy.Adapter,4,15,2,2,0,3,2,3,0,3
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowStateException,3,4,0,0,2,2,1,1,1,1
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowDefinitionImpl,187,103,37,9,53,31,39,14,17,13
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowSetImpl,69,0,8,0,20,0,9,0,5,0
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,JaxbWorkflowConfiguration,47,35,13,1,17,12,10,5,3,5
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowIndexData,36,0,0,0,14,0,7,0,7,0
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowDatabaseException,16,0,0,0,8,0,4,0,4,0
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowUtil,22,0,8,0,4,0,6,0,2,0
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowOperationException,4,9,0,0,2,4,1,2,1,2
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowStateMappingImpl.Adapter,0,8,0,0,0,3,0,3,0,3
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,YamlWorkflowConfigurationSerializer,7,8,0,0,2,4,1,2,1,2
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,YamlWorkflowConfigurationDeserializer,2,35,1,1,1,9,1,3,0,3
Opencast :: workflow-service-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,ConfiguredTagsAndFlavors,70,133,12,4,15,32,10,13,2,13
