GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: workflow-service-impl,org.opencastproject.workflow.endpoint,WorkflowRestService,610,41,33,1,156,12,43,5,26,5
Opencast :: workflow-service-impl,org.opencastproject.workflow.impl,WorkflowCleanupScanner.Runner,44,0,2,0,9,0,4,0,3,0
Opencast :: workflow-service-impl,org.opencastproject.workflow.impl,WorkflowServiceImpl.Operation,0,21,0,0,0,2,0,1,0,1
Opencast :: workflow-service-impl,org.opencastproject.workflow.impl,WorkflowServiceImpl.JobRunner,0,70,0,0,0,15,0,2,0,2
Opencast :: workflow-service-impl,org.opencastproject.workflow.impl,WorkflowDefinitionScanner,457,62,45,3,89,15,43,5,19,5
Opencast :: workflow-service-impl,org.opencastproject.workflow.impl,WorkflowOperationWorker,120,289,13,24,22,77,13,14,1,7
Opencast :: workflow-service-impl,org.opencastproject.workflow.impl,AbstractWorkflowBufferScanner,10,0,0,0,4,0,3,0,3,0
Opencast :: workflow-service-impl,org.opencastproject.workflow.impl,WorkflowFilenameFilter,28,0,4,0,6,0,5,0,3,0
Opencast :: workflow-service-impl,org.opencastproject.workflow.impl,WorkflowCleanupScanner,319,0,14,0,104,0,22,0,15,0
Opencast :: workflow-service-impl,org.opencastproject.workflow.impl,WorkflowServiceImpl.HandlerRegistration,46,35,10,2,13,11,8,2,2,2
Opencast :: workflow-service-impl,org.opencastproject.workflow.impl,WorkflowServiceImpl,1663,2200,160,182,394,557,136,124,20,60
