GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,AddCatalogWorkflowOperationHandler,18,137,0,8,6,35,0,9,0,5
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,CloneWorkflowOperationHandler,30,200,1,11,8,47,2,10,1,5
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,ZipWorkflowOperationHandler,121,358,7,21,30,85,8,13,2,5
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,SeriesWorkflowOperationHandler,89,539,7,45,28,110,9,30,2,11
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,IncludeWorkflowOperationHandler,93,0,4,0,25,0,9,0,7,0
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,ImportWorkflowPropertiesWOH,20,142,3,5,6,31,3,8,0,7
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,DuplicateEventWorkflowOperationHandler,313,749,37,43,67,172,30,26,2,14
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,WebvttToCutMarksWorkflowOperationHandler,617,0,48,0,147,0,37,0,13,0
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,TransferMetadataWorkflowOperationHandler.Metadata.NoMetadataFoundException,0,6,0,0,0,1,0,1,0,1
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,ExportWorkflowPropertiesWOH,18,230,4,10,4,52,4,9,0,6
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,PublicationChannelToWorkspace,253,0,16,0,58,0,15,0,7,0
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,TransferMetadataWorkflowOperationHandler,47,117,3,5,13,28,3,5,0,4
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,TransferMetadataWorkflowOperationHandler.Configuration,0,51,0,0,0,13,0,3,0,3
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,ErrorResolutionWorkflowOperationHandler,103,0,5,0,26,0,9,0,6,0
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,TagByDublinCoreTermWOH,33,194,7,19,9,45,7,10,0,4
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,AnalyzeTracksWorkflowOperationHandler,11,278,3,19,1,50,3,14,0,6
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,TransferMetadataWorkflowOperationHandler.Metadata,4,71,1,3,1,14,1,3,0,2
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,TagWorkflowOperationHandler,32,148,5,15,11,38,7,8,2,3
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,ConditionalConfigWorkflowOperationHandler,67,153,4,8,13,29,5,6,1,4
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,ResumableWorkflowOperationHandlerBase,110,15,8,0,29,5,13,1,9,1
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,CopyWorkflowOperationHandler,76,290,5,21,15,63,6,13,1,5
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,ProbeResolutionWorkflowOperationHandler,0,274,2,28,0,50,2,18,0,5
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,StartWorkflowWorkflowOperationHandler,42,164,6,14,12,38,5,10,0,5
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,CleanupWorkflowOperationHandler,137,409,16,36,33,91,14,22,0,10
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,ChangeTypeWorkflowOperationHandler,54,218,4,20,10,46,5,11,1,3
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,ConfigureByDublinCoreTermWOH,0,178,2,20,0,34,2,13,0,4
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,AssertWorkflowOperationHandler,28,112,1,11,5,18,2,9,1,4
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,DefaultsWorkflowOperationHandler,4,125,0,4,2,21,1,5,1,3
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,WebvttToCutMarksWorkflowOperationHandler.Treatment,21,0,0,0,4,0,1,0,1,0
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,DuplicateEventWorkflowOperationHandler.SeriesInformation,12,0,0,0,5,0,1,0,1,0
Opencast :: workflow-workflowoperation,org.opencastproject.workflow.handler.workflow,AddCatalogWorkflowOperationHandler.CatalogTypeCollisionBehavior,0,21,0,0,0,2,0,1,0,1
